method_d,Category,SubCat
Reverse Bulldog Choke,Choke,Reverse Bulldog Choke
Punches to the Body,Strike,Body Punch
Overturned by NSBA,Decision,Overturn
Side Kick and Punches,Strike,Kick and Punch
Submission (Bulldog Choke,Choke,Bulldog
Finger Injury,Injury,Finger Injury
Overturned by NAC,Decision,Overturn
Elbow and Punch,Strike,Elbow and Punch
Overturned by CABMMA,Decision,Overturn
Hook Kick and Punches,Strike,Hook Kick and Punch
Esophagus Injury,Injury,Esophagus Injury
Hand Injury,Injury,Hand Injury
Body Kick and Punches,Strike,Body Kick and Punch
Japanese Necktie,Choke,Japanese Necktie
Elbows and Knees,Strike,Knee and Elbow
