Wins,Losses
,96
,104
,0
,75
,0
,84
,135
,150
,107
,0
,148
,0
,0
,110
,0
,0
,0
,56
,0
,0
,145
,9
,40
,89
,0
,23
,191
,0
,0
,81
,0
,96
,118
,248
,73
,177
,0
,232
,17
,42
,0
,190
,259
,136
,0
,65
,0
,45
,0
,0
,0
,162
,0
,190
,0
,0
,0
